"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 11 13:55:41 CST 2024","Tue Jun 11 13:55:50 CST 2024","8836","test_cases.step_defs.bms","test_16_doc_md5","","","","新增文件MD5规则","E:\Wondersoft_WebUITest\test_cases\features\bms\doc_md5.feature: 新增文件MD5规则"
"passed","Tue Jun 11 13:52:16 CST 2024","Tue Jun 11 13:52:30 CST 2024","13814","test_cases.step_defs.bms","test_10_log_backup","","","","日志备份配置-存储方式-本地、FTP、SMB（手动备份）","E:\Wondersoft_WebUITest\test_cases\features\bms\log_backup.feature: 日志备份配置-存储方式-本地、FTP、SMB（手动备份）"
"passed","Tue Jun 11 13:45:27 CST 2024","Tue Jun 11 13:45:34 CST 2024","6422","test_cases.step_defs.bms","test_01_user_sync","","","","立即同步","E:\Wondersoft_WebUITest\test_cases\features\bms\user_sync.feature: 立即同步"
"passed","Tue Jun 11 13:54:28 CST 2024","Tue Jun 11 13:54:32 CST 2024","4138","test_cases.step_defs.bms","test_13_dlp_doc_rules","","","","关键字/正则查询","E:\Wondersoft_WebUITest\test_cases\features\bms\dlp_doc_rules.feature: 关键字/正则查询"
"passed","Tue Jun 11 13:49:07 CST 2024","Tue Jun 11 13:49:15 CST 2024","8518","test_cases.step_defs.bms","test_04_user_syncManager","","","","用户推送","E:\Wondersoft_WebUITest\test_cases\features\bms\user_syncManage.feature: 用户推送"
"passed","Tue Jun 11 13:46:23 CST 2024","Tue Jun 11 13:47:00 CST 2024","36974","test_cases.step_defs.bms","test_01_user_sync","","","","删除同步配置及数据源配置","E:\Wondersoft_WebUITest\test_cases\features\bms\user_sync.feature: 删除同步配置及数据源配置"
"passed","Tue Jun 11 13:49:01 CST 2024","Tue Jun 11 13:49:07 CST 2024","5589","test_cases.step_defs.bms","test_03_custom_group","","","","删除自定义用户组","E:\Wondersoft_WebUITest\test_cases\features\bms\custom_group.feature: 删除自定义用户组"
"broken","Tue Jun 11 13:57:36 CST 2024","Tue Jun 11 13:58:17 CST 2024","41178","test_cases.step_defs.bms","test_19_sys_homepage_conf","","","","首页配置","E:\Wondersoft_WebUITest\test_cases\features\bms\sys_homepage_conf.feature: 首页配置"
"passed","Tue Jun 11 13:54:19 CST 2024","Tue Jun 11 13:54:28 CST 2024","8842","test_cases.step_defs.bms","test_13_dlp_doc_rules","","","","新增关键字规则-规则详情中包含多个规则","E:\Wondersoft_WebUITest\test_cases\features\bms\dlp_doc_rules.feature: 新增关键字规则-规则详情中包含多个规则"
"passed","Tue Jun 11 13:46:08 CST 2024","Tue Jun 11 13:46:23 CST 2024","15013","test_cases.step_defs.bms","test_01_user_sync","","","","删除同步配置及数据源配置","E:\Wondersoft_WebUITest\test_cases\features\bms\user_sync.feature: 删除同步配置及数据源配置"
"passed","Tue Jun 11 13:58:17 CST 2024","Tue Jun 11 13:58:22 CST 2024","5072","test_cases.step_defs.bms","test_19_sys_homepage_conf","","","","系统首页配置列表查询","E:\Wondersoft_WebUITest\test_cases\features\bms\sys_homepage_conf.feature: 系统首页配置列表查询"
"passed","Tue Jun 11 13:50:05 CST 2024","Tue Jun 11 13:50:11 CST 2024","5467","test_cases.step_defs.bms","test_06_access_strategy","","","","限制策略查询","E:\Wondersoft_WebUITest\test_cases\features\bms\access_strategy.feature: 限制策略查询"
